RID,GroupAssignment,Age_Yrs,Year_of_Study,Live_Pets,Consumer_BARK,Stage,PANAS_PA,SHS,SCS,Engagement,FS,Stress,Homesick,Lonely,PANAS_NA
117,Indirect,21,2,2,1,post,3,3.6666666666666665,5,2,5.857142857142857,3,2,2.2,1.6
118,Control,20,2,2,1,pre,4,3,4.85,1,6,2,2,1.75,1.8
118,Control,20,2,2,1,post,3,3,4.65,2,5.875,2,3,2.05,1.8
119,Direct,19,2,1,1,pre,3.6,4,4.7,3,5.75,4,1,1.9,2.4
119,Direct,19,2,1,1,post,3.4,4,4.65,3,5.375,3,1,1.9,2
120,Indirect,19,1,2,1,pre,4.6,2.6666666666666665,3.5,4,5.75,4,3,2.45,2.8
120,Indirect,19,1,2,1,post,4.6,3,4.05,4,6.125,2,2,2.45,2
121,Control,18,1,2,1,pre,3.6,3.6666666666666665,5.2,2,7,2,2,1.75,1.6
121,Control,18,1,2,1,post,3,4.333333333333333,5.6,5,6.875,1,1,1.55,1
122,Direct,18,1,2,1,pre,4,4.333333333333333,5.3,2,6.25,3,2,1.2,1.2
122,Direct,18,1,2,1,post,4,4.666666666666667,5.6,2,6.25,1,2,1.15,1
123,Indirect,18,1,1,1,pre,3,3.6666666666666665,4.45,3,5.375,3,1,1.7,1.8
123,Indirect,18,1,1,1,post,3.2,4,4.85,2,5.875,2,1,1.45,1.2
124,Control,18,2,2,4,pre,4,1.3333333333333333,4.4,3,6.5,5,4,2.3,2.2
124,Control,18,2,2,4,post,4.4,1.6666666666666667,4.3,2,6.125,3,5,2.15,2.8
125,Direct,19,2,2,2,pre,3.2,4,4.5,3,5.5,2,3,2,1.8
125,Direct,19,2,2,2,post,3.4,4,4.55,3,5.875,1,2,1.95,1.2
126,Indirect,18,1,1,1,pre,3.8,4.333333333333333,4.8,1,5.75,4,1,1.7894736842105263,2.2
126,Indirect,18,1,1,1,post,3.6,4.333333333333333,5,2,6,3,1,1.8,1.8
127,Control,18,1,2,1,pre,2.6,4.666666666666667,5.35,2,6,4,1,1.65,1.4
127,Control,18,1,2,1,post,2.2,4.333333333333333,5.45,2,5.875,4,1,1.65,1
128,Direct,21,4,2,1,pre,3,3.3333333333333335,5.2,1,6.375,3,2,1.4,1.6
128,Direct,21,4,2,1,post,3.8,4,5.45,1,6.25,1,2,1.1,1.2
129,Indirect,21,3,2,1,pre,3,3.3333333333333335,4.45,2,6,2,3,2.25,2.6
129,Indirect,21,3,2,1,post,4,4,4.35,1,6.375,1,2,1.75,3
130,Control,18,1,1,1,pre,3.2,2.6666666666666665,3.7,3,4.625,4,1,2.45,3.2
130,Control,18,1,1,1,post,2.2,3,4.05,4,4.875,3,1,2,1.2
131,Direct,19,1,2,1,pre,2.6,1,3.55,4,3.875,4,3,2.6,2.6
131,Direct,19,1,2,1,post,2.4,1.6666666666666667,3.55,2,4.5,3,4,2.45,1.8
132,Indirect,19,1,2,1,pre,3.2,3,4.578947368421052,4,5.875,3,3,2,2.4
132,Indirect,19,1,2,1,post,3.2,3,4.8,3,6,2,2,1.85,1.4
133,Control,19,2,2,2,pre,3.6,4,4.9,2,6.125,3,3,1.75,1.8
133,Control,19,2,2,2,post,3.8,4,4.4,4,5.875,2,3,1.75,2
134,Direct,24,2,1,2,pre,3.6,3.3333333333333335,5.15,4,6.25,2,4,1.55,1
134,Direct,24,2,1,2,post,4.6,4,5.8,2,6.75,1,2,1.25,1
135,Indirect,18,1,2,1,pre,2.6,3.3333333333333335,5,2,4.75,3,2,1.45,2.4
135,Indirect,18,1,2,1,post,2.8,3.6666666666666665,5,2,5,2,2,1.35,1.2
